Index,Name,Location,URL,Review
10000,Qutub Minar,"Mehrauli, Delhi",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg,"Towering over Delhi, the red sandstone Qutub Minar is the world's tallest brick minaret and a UNESCO World Heritage Site. Built in the early 12th century, this 72.5-meter victory tower boasts five balconies, where the muezzin would call worshippers to prayer. Its architecture blends Hindu and Islamic elements, making it a must-visit in Delhi."
10001,Jantar Mantar,New Delhi,https://upload.wikimedia.org/wikipedia/commons/b/b8/Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg,"Jantar Mantar, meaning ""instruments of harmony,"" is a 18th-century astronomical observatory in New Delhi. Built by Maharaja Jai Singh, it's one of five such observatories he commissioned. Jantar Mantar uses giant, geometric instruments to measure the movement of celestial bodies, predicting the time and tracking the stars. This fascinating site stands as a testament to India's rich scientific heritage."
10002,India Gate,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/India_Gate_in_New_Delhi_03-2016.jpg/1200px-India_Gate_in_New_Delhi_03-2016.jpg,"Standing tall at 42 meters, India Gate is a majestic war memorial in Delhi. Designed by Edwin Lutyens, it honors Indian soldiers who died in World War I and the Afghan Wars. Inscribed on its walls are over 13,000 names. Beneath the arch lies the ""Amar Jawan Jyoti,"" an eternal flame symbolizing the sacrifices of these fallen heroes. A central landmark and popular tourist spot, India Gate is a poignant reminder of India's military history."
10003,Taj Mahal,"Agra, Uttar Pradesh",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/1200px-Taj_Mahal_%28Edited%29.jpeg,"A monument to love, the Taj Mahal isn't a fort, but a dazzling white marble mausoleum in Agra. Built by Shah Jahan in the 1600s for his beloved wife, it sits across the Yamuna River from the imposing Agra Fort, a Mughal stronghold. The Taj's symmetrical gardens, reflecting pool, and intricate details make it a masterpiece of Islamic art and a symbol of India."
10004,Agra Fort,"Agra, Uttar Pradesh",https://upload.wikimedia.org/wikipedia/commons/7/7e/Agra_03-2016_10_Agra_Fort.jpg,"A majestic Mughal marvel, Agra Fort, also known as Red Fort, overlooks the Yamuna River. Built by Emperor Akbar in the 16th century, it was the seat of Mughal power for nearly a century. Within its red sandstone walls lie palaces, mosques, and the breathtaking Pearl Mosque. A UNESCO World Heritage Site, Agra Fort stands as a testament to Mughal grandeur, just 2.5 kilometers from its famous companion, the Taj Mahal."
10005,Lotus Temple,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/800px-LotusDelhi.jpg,"Blossoming in Delhi, the Lotus Temple is a Baha'i house of worship famed for its floral design. Made of white marble, its 27 petals forming nine sides create a serene atmosphere. Open to all faiths, the central hall welcomes peaceful prayer and meditation. This architectural marvel is a symbol of unity and a popular tourist destination."
10006,Gol Gumbaz,"Bijapur, Karnataka",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Gol_Gumbaj2.JPG/800px-Gol_Gumbaj2.JPG,"Gol Gumbaz stuns with its massive black dome, the second largest in the world! This 17th-century mausoleum boasts impressive acoustics, where a quiet whisper travels across the chamber. Explore its intricate carvings and marvel at the engineering marvel. History buffs and architecture lovers won't want to miss this gem. "
10007,Jama Masjid,New Delhi,https://upload.wikimedia.org/wikipedia/commons/a/a4/Jama_Masjid_-_In_the_Noon.jpg,"Towering above Old Delhi, Jama Masjid boasts the title of India's largest mosque. Shah Jahan, the Mughal emperor behind the Taj Mahal, commissioned its construction in the 17th century. White marble adorns its facade, while its three grand gates lead to a vast courtyard. Accommodating over 25,000 worshippers, it's a marvel of Mughal architecture and a must-see for any Delhi adventure."
10008,Humayun Tomb,New Delhi,https://upload.wikimedia.org/wikipedia/commons/d/d2/Tomb_of_Humayun%2C_Delhi.jpg,"Tucked within Humayun's Tomb complex lies the charming Isa Khan's Tomb. This octagonal red sandstone gem, built in 1547, served as the final resting place for a noble in Sher Shah Suri's court. Explore its intricate latticework screens and glazed tiles, a beautiful example of Sur Dynasty architecture. The recent restoration even unearthed India's oldest sunken garden, a fascinating glimpse into historical landscaping."
10009,Akshardham,New Delhi,https://upload.wikimedia.org/wikipedia/commons/c/c2/New_Delhi_Temple.jpg,"Delhi's Akshardham complex is a dazzling spectacle of Hindu deities, culture, and architecture. Built entirely from marble, it features a central temple adorned with intricate carvings. The complex boasts sprawling gardens, a musical fountain show, and exhibitions showcasing India's rich heritage. A peaceful haven offering spiritual and cultural immersion."
10010,Sanchi Stupa,"Sanchi, Madhya Padesh",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Sanchi_%282%29.JPG/250px-Sanchi_%282%29.JPG,"Carved gateways and a majestic dome define the Sanchi Stupa, a Buddhist monument near Delhi. Built over 2,000 years ago, it's one of the oldest stone structures in India. The hemispherical dome enshrines relics, while intricate carvings on the gateways depict stories of Buddha's life. Walk the processional path and admire the artistry, offering a glimpse into India's rich Buddhist heritage. "
10011,Golden Temple,"Amritsar, Punjab",https://upload.wikimedia.org/wikipedia/commons/9/94/The_Golden_Temple_of_Amrithsar_7.jpg,"Amritsar's jewel, the Golden Temple, welcomes all faiths. This gilded haven sits on a pool, symbolizing spiritual purity. Walk the causeway for reflection, then enter to admire the exquisite marble and gold work. Langar, the temple's free community kitchen, serves a simple vegetarian meal to all visitors, reflecting Sikhism's emphasis on equality."
10012,Charminar,"Hyderbad, Telangana",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Charminar_-_May_2023.jpg/211px-Charminar_-_May_2023.jpg,"Hyderabad's crown jewel, Charminar, translates to ""four minarets."" Built in 1591, this iconic structure blends Islamic and Hindu styles. Four towering minarets grace each corner, with a mosque nestled on the top floor. A bustling marketplace surrounds the monument, offering a glimpse into local life. "
10013,Kanch Mahal,"Agra, Uttar Pradesh",https://upload.wikimedia.org/wikipedia/commons/3/39/Kanch_Mahal_Sikandara_079.jpg,"A hidden gem near Agra's famed Akbar's Tomb, Kanch Mahal showcases Mughal domestic architecture. Built between 1605-1619, this square building served as a royal residence and hunting lodge. Its name, meaning ""Glass Palace,"" hints at the extensive use of glazed tiles that likely adorned its walls"
